Name,Genre,Year
Absence of Malice,Drama,1981
Endless Love,Drama,1981
Ghost Story,Drama,1981
Inchon,Drama,1981
Looker,Drama,1981
On Golden Pond,Drama,1981
One from the Heart,Drama,1981
Pennies from Heaven,Drama,1981
Possession,Drama,1981
Quartet,Drama,1981
Raggedy Man,Drama,1981
Ragtime,Drama,1981
Rich and Famous,Drama,1981
Rollover,Drama,1981
Silence of the North,Drama,1981
Taps,Drama,1981
The French Lieutenant's Woman,Drama,1981
The Hand,Drama,1981
The Night the Lights Went Out in Georgia,Drama,1981
Victory,Drama,1981
Zoot Suit,Drama,1981
