Country,Growth Rate
Anguilla,10.066
Antigua and Barbuda,10.058
Aruba,0.9991
Bahamas,10.051
Barbados,10.015
Belize,10.131
Bermuda,1.0
British Virgin Islands,10.059
Canada,10.078
Cayman Islands,10.084
Costa Rica,10.052
Cuba,0.9961
Curacao,10.043
Dominica,10.045
Dominican Republic,1.01
El Salvador,10.035
Greenland,1.004
Grenada,10.066
Guadeloupe,0.9992
Guatemala,10.134
Haiti,1.012
Honduras,1.015
Jamaica,0.9999
Martinique,0.9965
Mexico,10.063
Montserrat,0.9939
Nicaragua,10.143
Panama,10.132
Puerto Rico,0.9989
Saint Barthelemy,10.098
Saint Kitts and Nevis,10.011
Saint Lucia,10.011
Saint Martin,0.9951
Saint Pierre and Miquelon,0.9964
Saint Vincent and the Grenadines,0.9963
Sint Maarten,1.003
Trinidad and Tobago,10.035
Turks and Caicos Islands,10.131
United States,10.038
United States Virgin Islands,0.9937
